id,english,filipino,taglish
1,In what country was President Roosevelt born?,Saang bansa ipinanganak si Pangulong Roosevelt?,Saang country ipinanganak si President Roosevelt?
2,Write a short story about a bear in the woods.,Sumulat ng isang maikling kuwento tungkol sa isang oso sa kakahuyan.,Sumulat ng isang short story tungkol sa isang bear sa woods.
3,What would happen if the Earth stopped spinning?,Ano ang mangyayari kung ang Earth ay tumigil sa pag-ikot?,Ano ang mangyayari sa Earth if it stopped spinning?
4,Rewrite this sentence to add more variety to the verbs used.,Isulat muli ang pangungusap na ito upang magdagdag ng iba't ibang uri sa mga pandiwang ginamit.,I-rewrite mo yung sentance na ito para madagdag yung variety ng mga verbs na ginamit.
5,Find a spelling mistake in the following sentence.,Maghanap ng pagkakamali sa pagbaybay sa sumusunod na pangungusap.,Maghanap ng spelling mistake sa sumusunod na pangungusap.
6,Generate a hypothetical situation in which a person is feeling sad,Bumuo ng hypothetical na sitwasyon kung saan nalulungkot ang isang tao,Bumuo ng isang hypothetical situation kung saan sad ang isang tao.
7,Describe the presidency of George Washington,Ilarawan ang pagkapangulo ni George Washington,Ilarawan ang presidency ni George Washington.
8,Classify the country into continent.,Uriin ang bansa sa kontinente.,Uriin ang country sa continent.
9,Give me a strategy to cope with stress in the workplace.,Bigyan mo ako ng diskarte upang makayanan ang stress sa lugar ng trabaho.,Bigyan mo ako ng strategy upang makayanan ang stress sa workplace.
10,Name a character trait that could be associated with leadership,Magbigay ng isang katangian ng karakter na maaaring maiugnay sa pamumuno,Magbigay ng isang character trait na maaring maiugnay sa leadership.
11,Develop a game plan to reduce waste.,Bumuo ng isang plano sa laro upang mabawasan ang basura.,Bumuo ng isang game plan upang mabawasan ang waste.
12,Describe what you would see if you went to the Grand Canyon.,Ilarawan kung ano ang makikita mo kung pupunta ka sa Grand Canyon.,Describe kung ano ang makikita mo if you are going to Grand Canyon.
13,"Given a song name, predict the genre of the song."," Dahil sa pangalan ng kanta, hulaan ang genre ng kanta.","Given a song name, hulaan ang genre ng kanta."
14,Find five adjectives that describe a windy day,Maghanap ng limang pang-uri na naglalarawan sa isang mahangin na araw,Maghanap ng five adjectives that will describe a windy day.
15,"Given the following sentence, edit it for clarity and succinctness.","Dahil sa sumusunod na pangungusap, i-edit ito para sa kalinawan at pagiging maikli.","Given the following sentences, iedit for clarity at succinctness."
16,Generate an example of satire about the current political situation,Bumuo ng isang halimbawa ng panunuya tungkol sa kasalukuyang sitwasyong pampulitika,Bumuo ng isang example ng satire tungkol sa current political situation natin.
17,Make a simile of a journey.,Gumawa ng isang simile ng isang paglalakbay.,Gumawa ng isang simile ng isang journey.
